"","journal","req_journal","periode","req_periode","req_tot"
"22","Biochemical And Biophysical Research Communications"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Biochemical And Biophysical Research Communications"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Biochemical And Biophysical Research Communications"" )"
"23","Journal Of Infectious Diseases"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Infectious Diseases"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Infectious Diseases"" )"
"24","Scientific Reports"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Scientific Reports"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Scientific Reports"" )"
"25","Viruses"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Viruses"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Viruses"" )"
"26","Plos Pathogens"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Plos Pathogens"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Plos Pathogens"" )"
"27","Antiviral Research"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Antiviral Research"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Antiviral Research"" )"
"28","Virology Journal"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Virology Journal"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Virology Journal"" )"
"29","International Journal Of Environmental Research And Public Health"," AND ( LIMIT-TO ( EXACTSRCTITLE,""International Journal Of Environmental Research And Public Health"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""International Journal Of Environmental Research And Public Health"" )"
"30","Sustainability Switzerland"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Sustainability Switzerland"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Sustainability Switzerland"" )"
"31","Frontiers In Psychology"," AND ( LIMIT-TO ( EXACTSRCTITLE,""Frontiers In Psychology"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""Frontiers In Psychology"" )"
"32","BMJ"," AND ( LIMIT-TO ( EXACTSRCTITLE,""BMJ"" )",1,"( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) )","""COVID-19"" OR ""Coronavirus"" OR ""Corona virus"" OR ""2019-nCoV"" OR ""SARS-CoV"" OR ""MERS-CoV"" OR ""Severe Acute Respiratory Syndrome"" OR ""Middle East Respiratory Syndrome"" AND ( EXCLUDE ( PUBYEAR,2003) OR EXCLUDE ( PUBYEAR,2004) OR EXCLUDE ( PUBYEAR,2005) OR EXCLUDE ( PUBYEAR,2006) OR EXCLUDE ( PUBYEAR,2007) OR EXCLUDE ( PUBYEAR,2008) OR EXCLUDE ( PUBYEAR,2009) OR EXCLUDE ( PUBYEAR,2010) OR EXCLUDE ( PUBYEAR,2011) OR EXCLUDE ( PUBYEAR,2012) OR EXCLUDE ( PUBYEAR,2013) OR EXCLUDE ( PUBYEAR,2014) OR EXCLUDE ( PUBYEAR,2015) OR EXCLUDE ( PUBYEAR,2016) OR EXCLUDE ( PUBYEAR,2017) OR EXCLUDE ( PUBYEAR,2018) OR EXCLUDE ( PUBYEAR,2019) OR EXCLUDE ( PUBYEAR,2020) OR EXCLUDE ( PUBYEAR,2021) OR EXCLUDE ( PUBYEAR,2022) OR EXCLUDE ( PUBYEAR,2023) OR EXCLUDE ( PUBYEAR,2024) ) AND ( LIMIT-TO ( EXACTSRCTITLE,""BMJ"" )"
